pose_name,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle
Boat_Pose_or_Paripurna_Navasana_,166.8567998132588,165.62704010271875,157.97710425215342,155.80984289966403,45.04809732827548,49.946616104735334,59.38494774763153,52.493059505959366
Boat_Pose_or_Paripurna_Navasana_,156.22273256191684,150.42797640219004,102.13333954645519,96.29539553179082,47.945452781286335,43.99232411348747,45.84522592568744,46.959924006050386
Boat_Pose_or_Paripurna_Navasana_,153.17902635405338,155.16144989448873,113.06626634140628,109.16886149849572,50.80441945217196,51.714977594467754,58.95912745975337,56.55906376058344
Boat_Pose_or_Paripurna_Navasana_,156.91632868766234,155.02523897324997,179.85646829412258,171.91584020750838,55.520447330033726,56.828380742652925,61.38450840061532,57.154525460401736
Boat_Pose_or_Paripurna_Navasana_,159.13510811514922,127.8730427354979,100.12692531094002,98.96409078108596,64.75260470854566,37.21874238044167,33.14943025444645,39.706838216137115
Boat_Pose_or_Paripurna_Navasana_,171.82983790701329,174.27698738624636,174.4790358391272,173.21614703923316,67.4439917488327,68.3687657428122,109.07574722332946,106.4557091896115
Boat_Pose_or_Paripurna_Navasana_,160.64245395531952,165.8560251509528,177.03486924193777,170.44088412913698,18.886815562922596,23.8136748179677,115.29260584718965,111.42416427374212
Boat_Pose_or_Paripurna_Navasana_,138.31004219666963,144.58098882217507,83.32659549313465,81.515578779976,37.94927957757093,46.584867387899955,47.49551726565153,47.10590929852492
Boat_Pose_or_Paripurna_Navasana_,161.39164380535277,164.79854222728704,156.750660364583,158.35732385278732,52.65034678805917,51.347633240396085,57.50774617281149,66.1164338422514
Boat_Pose_or_Paripurna_Navasana_,153.6894955867443,165.5089738111627,108.97591083828668,101.80277524429842,46.64381816327549,50.24207754264139,48.60979216779697,50.70403804553227
Boat_Pose_or_Paripurna_Navasana_,166.5294002629427,169.2450926740969,177.97338367359467,177.88517875609654,47.30654792021693,50.8661398751512,74.62547789194548,74.14422053548283
Boat_Pose_or_Paripurna_Navasana_,173.77599507531087,168.97803230272794,178.584655437013,177.01439851074093,17.03365367811438,31.490758605930502,103.32769769168686,91.65956618524437
Boat_Pose_or_Paripurna_Navasana_,164.16399502290804,162.54405075942586,112.77695399178259,110.35949746138004,50.360756147612044,50.60929992710979,53.014039812521986,59.27691536231045
Boat_Pose_or_Paripurna_Navasana_,165.88934453858923,164.26713322351284,175.6311326800814,175.07856726574502,110.15823597011776,112.5084371068924,41.174566401986574,40.616725522681996
Boat_Pose_or_Paripurna_Navasana_,157.0517947255934,156.75438665117906,113.67134043643323,103.22669370575106,49.53082347392218,42.93710679352237,48.97143018493074,50.929680082777836
Boat_Pose_or_Paripurna_Navasana_,152.3678948718274,158.32660927238675,167.83122027200193,164.585091477535,42.04920114709814,47.90447217343408,53.99550549306233,54.02836124419681
Boat_Pose_or_Paripurna_Navasana_,163.9569244033609,155.86687392362313,179.04912019480975,166.09609508930495,115.37884872621673,104.66673082549805,34.696709226198834,37.23338317089729
Boat_Pose_or_Paripurna_Navasana_,165.96654765503968,160.54379000812395,169.3523125538012,178.06540701436828,26.84338610378896,27.751318379663303,132.47445600404328,136.62897658828558
Boat_Pose_or_Paripurna_Navasana_,59.50293579788651,116.23312625671959,63.59923611855994,116.22860169095101,13.674521439496512,6.912966793636564,55.41124243567893,53.6556406373447
Boat_Pose_or_Paripurna_Navasana_,146.07630656726374,145.95319875357234,99.67212961365959,100.93466257079781,52.8637738326452,42.700371390998306,35.21634311714481,43.97644793304218
Boat_Pose_or_Paripurna_Navasana_,171.42733273600481,175.3100893141868,179.3759535526028,178.65624129704526,43.10284325404026,44.830920629390164,167.9654032950208,168.49624339148363
Boat_Pose_or_Paripurna_Navasana_,151.57523551301676,141.66831633347644,99.81299595667167,104.3152128997923,48.32990772203722,38.0561905014041,30.086805791518632,41.1554567932918
Boat_Pose_or_Paripurna_Navasana_,149.65294178291776,154.58305281368177,173.05117341016626,168.4558836116301,67.90603316612389,71.6851625147558,55.799521021327564,57.3823280102457
Boat_Pose_or_Paripurna_Navasana_,126.7253538846103,129.4159024960072,171.3573803341866,171.84973105579263,73.18360196868133,74.70335392947524,57.552660947968754,51.97147839921246
Boat_Pose_or_Paripurna_Navasana_,148.0696852835212,158.45188866479955,175.04613269812958,175.66403725224214,46.16341431630494,52.30274031074863,68.62016662424361,73.7046492288283
Boat_Pose_or_Paripurna_Navasana_,176.22082400588056,168.01324158935736,179.1463354895901,179.38078584180326,92.78898149164671,90.57278318829798,58.44895219927216,56.561554307075184
Boat_Pose_or_Paripurna_Navasana_,165.75919332444298,175.65652853493478,139.78271255838163,149.5624471493254,24.02304761676135,30.28651101808999,74.20934806438633,78.6592261774843
